id,rating,source,content,tags
sr-001,2,mock_platform,用完脸上起了三颗痘，我是油皮不敢再用了。,闷痘|油皮
sr-002,2,mock_platform,说好的不搓泥结果跟妆后搓成泥条了，太尴尬了。,搓泥|妆前
sr-003,2,mock_platform,涂完脸泛白像鬼一样，物理防晒都这样吗？,泛白|使用体验
sr-004,3,mock_platform,质地还可以挺清爽，但是防晒效果不确定，出门半天脸还是有点红。,防晒力顾虑
sr-005,3,mock_platform,成膜太慢了，早上赶上班要等好几分钟。,成膜慢|使用体验
sr-006,2,mock_platform,我是油皮用了还是油光满面，根本不控油。,油皮|油腻
sr-007,2,mock_platform,第三天发现长了闭口，搜了一下成分好像有致痘成分。,闷痘|成分
sr-008,3,mock_platform,味道有点奇怪，不是很喜欢这个质感，感觉有点廉价。,气味|质感
sr-009,3,mock_platform,夏天用还行冬天拔干，不是特别适合干皮。,干皮|季节适配
sr-010,2,mock_platform,涂了等于没涂，晒了一天回来脸晒伤了好痛。,防晒力不足|晒伤
sr-011,3,mock_platform,跟妆必须等很久不然一定搓泥，用完这管不回购了。,搓泥|跟妆
sr-012,2,mock_platform,只用了一周管子就挤不出东西了，明明还有很多。,包装问题
sr-013,2,mock_platform,眼睛周围刺激流泪，不敢再用在脸上。,刺激性|眼部
sr-014,3,mock_platform,客服说油皮可以用但我用完更油了，不信任了。,客服承诺|油皮
sr-015,3,mock_platform,50ml感觉天天用一个月就没了，用量很难把控。,用量|性价比
sr-016,2,mock_platform,详情页说不泛白结果上脸白得吓人，同事都看出来了。,泛白|详情页不符
sr-017,3,mock_platform,防晒效果一般般通勤够用但户外不够，需要频繁补涂。,防护力|补涂
sr-018,2,mock_platform,用了两周开始额头长痘痘，停用后就消了。,闷痘|成分
sr-019,3,mock_platform,上脸有种说不出的油腻感，不是清爽挂的。,油腻|肤感
sr-020,2,mock_platform,第一次用就过敏了脸红肿一片，退货中。,过敏
sr-021,3,mock_platform,性价比不高同价位有更好的选择，不会回购了。,性价比|差异化
sr-022,3,mock_platform,质地像涂改液不是乳液质地，很不习惯。,质地|使用体验
