id,rating,source,content,tags
fd-001,2,mock_platform,自然色上脸发灰，比我脖子还暗，色号不准让人太失望了。,色号不准|偏灰
fd-002,2,mock_platform,眼下和鼻翼卡粉太严重了，近看特别明显，同事问我脸怎么了。,卡粉|妆效
fd-003,2,mock_platform,上午化的妆到中午鼻子一圈就脱没了，持妆力真不行。,持妆差|脱妆
fd-004,2,mock_platform,刚上妆白白净净，下午就暗沉发黄得像昨天没洗脸一样。,暗沉|氧化
fd-005,3,mock_platform,遮瑕力一般，痘印基本盖不住，还得另外用遮瑕膏，没省事。,遮瑕不足|痘印
fd-006,2,mock_platform,我是干皮买之前看说适合，结果眼下干纹比以前更明显了。,干皮|卡粉
fd-007,2,mock_platform,油皮用了两小时就满面油光，完全不是说的控油效果。,油皮|控油
fd-008,3,mock_platform,粉扑太薄了不好取粉，送的替换装还没拆就知道不会用了。,粉扑|工具
fd-009,2,mock_platform,色号只有两个选，我是中性皮两个都不合适，难道要自己调色？,色号少
fd-010,2,mock_platform,下午发现下颚线一圈全是粉痕，同事帮我指出来太丢脸了。,卡粉|粉痕
fd-011,2,mock_platform,用了三天开始长小疙瘩，停用后慢慢消了，怕是闷痘。,闷痘|成分
fd-012,3,mock_platform,第一次买这个价位的底妆以为会更好用，结果也就一般般吧。,性价比
fd-013,2,mock_platform,介绍里说柔雾妆效，上脸是油亮亮的，跟韩式水光似的根本不是哑光。,妆效不符
fd-014,2,mock_platform,带妆不到四小时T区斑驳得厉害，用面纸一擦全是黄色的。,斑驳|脱妆
fd-015,2,mock_platform,详情页模特图是牛奶白，实物上脸偏粉调，色差太大了。,色差|详情页不符
fd-016,3,mock_platform,妆效还行但三四个小时后暗沉很明显，要一直补妆。,暗沉|补妆
fd-017,2,mock_platform,脸颊和额头起皮了，明明做过妆前保湿，干的地方还是干。,干皮|起皮
fd-018,2,mock_platform,气垫按下去回弹不好，感觉快干了，刚打开就这样。,包装问题|气垫
fd-019,3,mock_platform,味道有点像橡皮泥，上脸可以但心理上过不去。,气味
fd-020,2,mock_platform,收货发现外层塑封是开的，怀疑是别人退货的，不敢用。,包装|退货
fd-021,2,mock_platform,用了遮瑕位置反而更明显了，毛孔一个个白点像草莓。,遮瑕|毛孔
fd-022,3,mock_platform,13g感觉用不了几次就干了，用量太大不够一个月。,用量|性价比
fd-023,2,mock_platform,客服推荐自然色给我结果太白了，退换还得自己掏运费。,客服|色号|售后
fd-024,3,mock_platform,持妆只能撑半天，下午必须用散粉压一压，通勤用还行吧。,持妆|通勤
fd-025,2,mock_platform,跟之前用的气垫比差距太大了，这个价位68的都更好用。,差异化|性价比
